Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787196675,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787196676,5,,Aggregated,0.000000,0.000000,290,640,640,640,930,930,930,930,930,930,930,7,2,290,417.15558214283584,60.618077000071935,932.3408390000623,299.42857142857144
1787196677,10,,Aggregated,0.000000,0.000000,290,640,640,680,760,930,930,930,930,930,930,17,7,290,344.3724904117356,8.498356000018248,932.3408390000623,209.58823529411765
1787196678,10,,Aggregated,0.000000,0.000000,65,290,640,640,690,760,930,930,930,930,930,22,12,62,267.72939127266164,4.396424999868032,932.3408390000623,168.77272727272728
1787196679,10,,Aggregated,3.500000,1.000000,61,290,420,640,690,760,930,930,930,930,930,25,12,61,236.26344371990854,4.396424999868032,932.3408390000623,166.88
1787196680,10,,Aggregated,5.666667,2.333333,14,62,290,420,680,760,930,930,930,930,930,34,17,10,175.41470605874565,4.396424999868032,932.3408390000623,270.97058823529414
1787196681,10,,Aggregated,5.500000,3.000000,8,52,190,290,680,760,930,930,930,930,930,40,21,7,149.90252024995243,4.396424999868032,932.3408390000623,315.175
1787196682,10,,Aggregated,5.000000,2.400000,7,16,62,190,640,690,930,930,930,930,930,46,24,6,131.16141206518992,4.396424999868032,932.3408390000623,361.2391304347826
1787196683,10,,Aggregated,5.666667,2.833333,6,13,61,65,640,690,760,930,930,930,930,52,28,6,116.7957594615158,4.396424999868032,932.3408390000623,360.61538461538464
1787196684,10,,Aggregated,5.714286,3.000000,6,10,52,62,640,690,760,930,930,930,930,56,31,6,108.8198422678488,4.396424999868032,932.3408390000623,337.55357142857144
1787196685,10,,Aggregated,5.875000,3.000000,6,8,16,61,420,680,760,930,930,930,930,62,34,6,98.80881385483477,4.396424999868032,932.3408390000623,343.35483870967744
1787196686,10,,Aggregated,5.777778,3.111111,6,7,14,52,420,680,760,930,930,930,930,68,38,6,90.5957555000227,4.396424999868032,932.3408390000623,335.1617647058824
1787196687,10,,Aggregated,5.700000,3.200000,6,7,12,49,290,680,760,930,930,930,930,74,42,6,83.78424371624754,4.396424999868032,932.3408390000623,320.9054054054054
1787196688,10,,Aggregated,6.200000,3.400000,6,6,10,16,290,680,760,930,930,930,930,80,45,6,77.90584078753682,4.396424999868032,932.3408390000623,326.65
1787196689,10,,Aggregated,6.100000,3.600000,6,6,9,13,290,640,760,930,930,930,930,87,48,6,72.07587372416954,4.396424999868032,932.3408390000623,320.28735632183907
1787196690,10,,Aggregated,5.700000,3.500000,6,6,8,12,190,640,760,930,930,930,930,92,52,6,68.48333460873064,4.396424999868032,932.3408390000623,304.8478260869565
1787196691,10,,Aggregated,5.800000,3.300000,6,6,8,10,190,640,760,930,930,930,930,97,55,6,65.28474203096454,4.396424999868032,932.3408390000623,304.319587628866
1787196692,10,,Aggregated,6.200000,3.600000,6,6,8,10,65,640,690,760,930,930,930,104,59,6,61.41744272119573,4.396424999868032,932.3408390000623,288.0769230769231
1787196693,10,,Aggregated,5.900000,3.500000,6,6,8,10,65,640,690,760,930,930,930,109,61,6,58.917633733997704,4.396424999868032,932.3408390000623,325.39449541284404
1787196694,10,,Aggregated,5.700000,3.400000,6,6,8,10,62,640,690,760,930,930,930,115,64,6,56.108388408748674,4.396424999868032,932.3408390000623,316.295652173913
1787196695,10,,Aggregated,5.700000,3.500000,6,6,7,9,61,420,690,760,930,930,930,121,68,6,53.56964570253409,4.396424999868032,932.3408390000623,317.11570247933884
1787196696,10,,Aggregated,5.700000,3.300000,6,6,7,9,61,420,690,760,930,930,930,125,70,6,52.01499274405796,4.396424999868032,932.3408390000623,308.424
1787196697,10,,Aggregated,5.800000,3.200000,6,6,7,8,52,420,690,760,930,930,930,131,73,6,49.88146972525399,4.396424999868032,932.3408390000623,336.57251908396944
1787196698,10,,Aggregated,5.900000,3.400000,6,6,7,8,52,420,690,760,930,930,930,137,77,6,47.899269299333575,4.38147100066999,932.3408390000623,330.1970802919708
1787196699,10,,Aggregated,5.700000,3.200000,6,6,7,8,49,290,690,760,930,930,930,142,79,6,46.43772729583412,4.38147100066999,932.3408390000623,328.59154929577466
1787196700,10,,Aggregated,5.700000,3.100000,5,6,7,8,49,290,690,760,930,930,930,147,82,5,45.026613210947765,4.38147100066999,932.3408390000623,330.7959183673469
1787196701,10,,Aggregated,5.700000,3.200000,5,6,7,7,19,290,680,760,930,930,930,155,86,5,42.982282509728975,4.38147100066999,932.3408390000623,320.1548387096774
1787196702,10,,Aggregated,5.500000,3.100000,5,6,7,7,19,290,680,760,930,930,930,158,88,5,42.31811234181874,4.38147100066999,932.3408390000623,325.9493670886076
1787196703,10,,Aggregated,5.400000,3.000000,5,6,6,7,16,290,680,760,930,930,930,165,92,5,40.74074530912405,4.38147100066999,932.3408390000623,325.43030303030304
1787196704,10,,Aggregated,5.800000,3.100000,5,6,7,7,14,290,680,760,930,930,930,171,96,5,39.550772526344886,4.38147100066999,932.3408390000623,316.233918128655
